S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
15.,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1303,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
16.,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1304,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
17.,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1305,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
18.,Calcium Carbonate 500 mg +VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1306,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
19.,Amikacin Sulphate Injection I.P. 500 mg,24AM18,10/2024,09/2026,"M/s. SAI Parenterals Limited, D1 &D4, Survey No.280, Phase-V, IDA, Jeedimetla,",Particulate matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
,,,,,"Hyderabad- 500055.Telangana, India",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
20.,Sucralfate & Oxetacaine Suspension (Rabeflux Suspension),RBLS-02501,01/2025,12/2026,"M/s. Tidal Laboratories Pvt. Ltd., Patch-5, Phase-II, Gowalthai, Distt. Bilaspur- 174201 (H.P.), INDIA","Identification, Assay of Sucralfate and Assay of Oxetacaine","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
21.,Iron Sucrose Injection USP 100mg/5ml,24RS15,12/2024,11/2026,"M/s. SAI Parenterals Limited, D1 &D4, Survey No.280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",pH and Alkalinity,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
22.,Iron Sucrose Injection USP 100mg/5ml,24RS03,01/2024,12/2025,"M/s. SAI Parenterals Limited, D1 &D4, Survey No.280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",pH,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
23.,Iron Sucrose Injection USP 100 mg/5ml,24RS06,02/2024,01/2026,"M/s. SAI Parenterals Limited, D1 &D4, Survey No. 280, Phase-V, IDA, Jeedimetla, Hyderabad-500055, TS",pH and Alkalinity,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
